titre,auteur,date_publication,cote_rangement
Mansfield Park,Jane Austen,1814,A018
Emma,Jane Austen,1815,A017
Northanger Abbey,Jane Austen,1817,A016
Persuasion,Jane Austen,1817,A020
Stranger in a Strange Land,Robert A. Heinlein,1961,H010
Where the Red Fern Grows,Wilson Rawls,1961,R008
A Clockwork Orange,Anthony Burgess,1962,B019
A Wrinkle in Time,Madeleine L'Engle,1962,L001
One Flew Over the Cuckoo's Nest,Ken Kesey,1962,K005
The Gunslinger,Stephen King,1982,K009
Pet Sematary,Stephen King,1983,K015
The Colour of Magic,Terry Pratchett,1983,P023
The Witches,Roald Dahl,1983,D003
The Hunt for Red October,Tom Clancy,1984,C021
Harry Potter and the Half-Blood Prince,J.K. Rowling,2005,R032
Looking for Alaska,John Green,2005,G025
The Goldfinch,Donna Tartt,2013,T003
The Wise Man's Fear,Patrick Rothfuss,2011,R025
Where She Went,Gayle Forman,2011,F015
And The Mountains Echoed,Khaled Hosseini,2012,H022
The God Delusion,Richard Dawkins,2006,D009
The Road,Cormac McCarthy,2006,M009
The Sea of Monsters,Rick Riordan,2006,R019
To Kill a Mockingbird,Harper Lee,1960,L010
Atlas Shrugged,Ayn Rand,1957,R006
Fahrenheit 451,Ray Bradbury,1953,B005
Jane Eyre,Charlotte Bronte,1847,B007
Wuthering Heights,Emily Bronte,1847,B008
Le Comte de Monte-Cristo,Alexandre Dumas,1844,D029
Les Trois Mousquetaires,Alexandre Dumas,1844,D030
